timestamp,service,metric,value,unit
2024-01-27T10:00:00Z,api-gateway,cpu_percent,35.2,percent
2024-01-27T10:00:00Z,api-gateway,memory_percent,62.5,percent
2024-01-27T10:00:00Z,api-gateway,latency_ms,185,milliseconds
2024-01-27T10:00:00Z,database,cpu_percent,45.8,percent
2024-01-27T10:00:00Z,database,memory_percent,78.3,percent
2024-01-27T10:00:00Z,database,connections,85,count
2024-01-27T10:05:00Z,api-gateway,cpu_percent,38.1,percent
2024-01-27T10:05:00Z,api-gateway,memory_percent,64.2,percent
2024-01-27T10:05:00Z,api-gateway,latency_ms,195,milliseconds
2024-01-27T10:05:00Z,database,cpu_percent,48.5,percent
2024-01-27T10:05:00Z,database,memory_percent,79.1,percent
2024-01-27T10:05:00Z,database,connections,92,count
2024-01-27T10:10:00Z,api-gateway,cpu_percent,42.3,percent
2024-01-27T10:10:00Z,api-gateway,memory_percent,66.8,percent
2024-01-27T10:10:00Z,api-gateway,latency_ms,215,milliseconds
2024-01-27T10:10:00Z,database,cpu_percent,52.7,percent
2024-01-27T10:10:00Z,database,memory_percent,81.5,percent
2024-01-27T10:10:00Z,database,connections,98,count
2024-01-27T10:15:00Z,api-gateway,cpu_percent,68.9,percent
2024-01-27T10:15:00Z,api-gateway,memory_percent,72.3,percent
2024-01-27T10:15:00Z,api-gateway,latency_ms,1250,milliseconds
2024-01-27T10:15:00Z,database,cpu_percent,85.4,percent
2024-01-27T10:15:00Z,database,memory_percent,89.2,percent
2024-01-27T10:15:00Z,database,connections,150,count
2024-01-27T10:20:00Z,api-gateway,cpu_percent,75.2,percent
2024-01-27T10:20:00Z,api-gateway,memory_percent,76.5,percent
2024-01-27T10:20:00Z,api-gateway,latency_ms,2850,milliseconds
2024-01-27T10:20:00Z,database,cpu_percent,92.1,percent
2024-01-27T10:20:00Z,database,memory_percent,93.8,percent
2024-01-27T10:20:00Z,database,connections,198,count
2024-01-27T10:25:00Z,api-gateway,cpu_percent,82.6,percent
2024-01-27T10:25:00Z,api-gateway,memory_percent,81.2,percent
2024-01-27T10:25:00Z,api-gateway,latency_ms,4520,milliseconds
2024-01-27T10:25:00Z,database,cpu_percent,96.8,percent
2024-01-27T10:25:00Z,database,memory_percent,96.5,percent
2024-01-27T10:25:00Z,database,connections,200,count
2024-01-27T10:30:00Z,api-gateway,cpu_percent,88.3,percent
2024-01-27T10:30:00Z,api-gateway,memory_percent,85.7,percent
2024-01-27T10:30:00Z,api-gateway,latency_ms,5890,milliseconds
2024-01-27T10:30:00Z,database,cpu_percent,98.2,percent
2024-01-27T10:30:00Z,database,memory_percent,98.1,percent
2024-01-27T10:30:00Z,database,connections,200,count
2024-01-27T10:35:00Z,api-gateway,cpu_percent,45.2,percent
2024-01-27T10:35:00Z,api-gateway,memory_percent,68.3,percent
2024-01-27T10:35:00Z,api-gateway,latency_ms,320,milliseconds
2024-01-27T10:35:00Z,database,cpu_percent,55.6,percent
2024-01-27T10:35:00Z,database,memory_percent,82.4,percent
2024-01-27T10:35:00Z,database,connections,105,count
2024-01-27T10:40:00Z,api-gateway,cpu_percent,38.7,percent
2024-01-27T10:40:00Z,api-gateway,memory_percent,65.1,percent
2024-01-27T10:40:00Z,api-gateway,latency_ms,210,milliseconds
2024-01-27T10:40:00Z,database,cpu_percent,48.3,percent
